Forecast Date,Vintage Date,Vintage,Station ID,Max Temp,Min Temp,Max Wet Bulb,Min Wet Bulb,                                                                                                              
01/18/2020,01/19/2020,Forecast,ISP,41,29,40,25                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,ITH,33,19,32,18                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,JFK,41,30,40,26                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,LGA,41,31,39,26                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,MSS,21,10,20,9                                                                                                                                                           
01/18/2020,01/19/2020,Forecast,MSV,33,19,32,17                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,NYC,42,31,40,26                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,PLB,27,13,25,12                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,POU,38,24,35,21                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,ROC,37,20,35,18                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,SLK,26,7,25,6                                                                                                                                                            
01/18/2020,01/19/2020,Forecast,SWF,36,24,35,21                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,SYR,35,19,33,17                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,UCA,33,15,32,14                                                                                                                                                          
